央视,#genre#
CHC动作电影,https://live.goodiptv.club/api/cqyx.php?id=chcdzdyHD$重庆有线
CHC家庭影院,https://live.goodiptv.club/api/cqyx.php?id=chcjtyyHD$重庆有线
CHC高清电影,https://live.goodiptv.club/api/cqyx.php?id=chcgqdyHD$重庆有线
华语影院,https://tv.iill.top/bestv/hyyy8m/8000000
星光影院,https://tv.iill.top/bestv/xgyy8m/8000000
全球大片,https://tv.iill.top/bestv/qqdp8m/8000000

人文,#genre#
乐游纪实,https://tv.iill.top/bestv/qjshd8m/8000000
纪实人文,https://tv.iill.top/bestv/jspdhd/4000000
金鹰纪实,https://tv.iill.top/bestv/jyjs8m/8000000
纪实科教,https://tv.iill.top/bestv/dajs8m/8000000
第一财经,https://tv.iill.top/bestv/dycjhd8m/8000000
东方财经,https://tv.iill.top/bestv/dfcjhd8m/8000000

4K,#genre#
欢笑剧场4K,https://tv.iill.top/bestv/hxjc4k/15000000
CCTV4K,https://tv.iill.top/bestv/cctv4k/15000000
CCTV4K,https://live.goodiptv.club/api/cqyx.php?id=CCTV4K
CCTV4K,http://lu1.cc/itv/php/cctv4k.php
CCTV16-4K,https://tv.iill.top/bestv/cctv16hd4k/15000000
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
苏州4K,http://liveshowbak2.kan0512.com/norecord/csztv4k_4k.m3u8
